ID,n7HRing,nS,n6aHRing,SlogP_VSA11,NddssS,nG12FHRing,SlogP_VSA7,n7Ring,SMR_VSA6,GATS2pe,SLogP,n10FaRing,AATSC0pe,Xch-6dv,VSA_EState6,nBridgehead,JGI6,AATS2Z,ATSC6v,NddsN,ATSC6dv,EState_VSA9,Xch-6d,AATSC2v,nCl,AATSC0i,JGI10,NdS,JGT10,ATSC7v,VSA_EState7,FilterItLogS,n5Ring,Xc-5d,EState_VSA2,AATS1p,NaaCH,AATSC0d,GATS1pe,ATSC7p,Xc-5dv,C1SP3,NssssN,ATSC5p,AATS0v,n7aRing,n10FARing,nRing,ATSC2v,n10FRing,GATS1Z,Xch-3d,NdsN,nG12Ring,CIC0,ATSC4Z,GATS2d,nAromAtom,ATSC2dv,fMF,ATSC8dv,nFAHRing,Class
D1021,0,1,1,0,0,0,0,0,7.047671983,0.803263892,4.6391,0,0.080524575,0.125091531,19.51167142,0,0.014719793,26.28205128,-251.0619121,0,37.34908633,0,0.457560933,0.310870778,0,1.693604552,0.005462164,0,0.35221241,19.66612348,5.661925215,-6.428981518,1,0.30034919,5.907179729,2.063426399,11,0.540642722,0.694912332,-0.100166804,0.105229661,0,0,-2.526501986,253.5500858,0,0,4,24.24792066,0,0.713426615,0,0,0,3.93839447,-106.3459357,1.101902905,21,2.2278933,0.52173913,-15.19407687,0,1
D0075,0,1,1,5.749511833,0,0,0,0,6.606881965,0.72385667,3.1596,0,0.112499062,0.183963136,11.77881963,0,0.017248677,24.02469136,123.8539342,0,-1.185843621,4.736862954,0.427158138,-2.01056433,0,1.547397344,0.004639118,0,0.412088922,-296.7839362,4.194767396,-5.724766879,1,0.11785113,16.39632947,1.950924983,7,0.540246914,0.662370221,-1.858343911,0.051031036,2,0,1.460120355,231.1349764,0,0,3,-162.8557107,0,0.736518682,0,0,0,3.864534937,-94.53777778,1.27361365,12,-9.96345679,0.466666667,48.0423594,0,1
D0722,0,0,2,5.749511833,0,1,0,0,14.09534397,0.77724584,1.8468,0,0.137301543,0.154235842,7.047719156,0,0.023032759,23.5631068,-1199.567863,0,-66.41975309,9.720841475,0.416612143,13.19229848,0,1.489658344,0.010354046,0,0.548898488,382.4106832,0.104072483,-5.102515242,1,1.149231106,24.33648232,1.823325974,4,0.793209877,0.759273398,2.520519842,0.286538094,4,0,-1.953353031,227.1798383,0,0,5,1358.806744,0,0.738323786,0,0,0,4.156451444,-52.40740741,1.213327793,16,85.71604938,0.388888889,-6.567901235,1,0
D0597,0,0,0,5.749511833,0,0,0,0,20.26143591,1.003852335,1.5299,0,0.130234405,0.027777778,7.853786919,0,0.010655209,16.61728395,-247.8373376,0,-37.11909263,4.736862954,0.083333333,-0.464279793,0,1.294567943,0.011926221,0,0.462519561,258.0778018,0.482292152,-3.567517892,0,0,12.57618725,1.627076074,4,0.465500945,0.840435125,2.200779068,0,4,0,-1.305705798,188.3095939,0,0,1,-37.60666325,0,0.960126897,0,0,0,4.089052277,-69.58979206,1.543711224,6,-14.6899811,0.130434783,16.37807183,0,0
D0602,0,0,0,0,0,0,0,0,0,0.456942737,-0.9922,0,0.336703601,0,0,0,0,50.06896552,192.07221,0,20.59355015,24.68017381,0,4.514431642,0,1.274004809,0,0,0.847685185,0,0,2.516661001,0,3,0,2.207470714,0,1.1966759,1.444484574,0,1.811291756,2,0,5.356898805,200.2101932,0,0,0,130.9185176,0,1.008712224,0,0,0,2.507972866,-333.0831025,2.211206897,0,97.24605862,0,0,0,0
D0345,0,0,0,0,0,0,0,0,0,0.708608811,9.1576,0,0.05852498,0.043402778,7.178589487,0,0.015929399,14.38666667,668.8357181,0,-26.43246275,0,0.12037037,1.373455218,0,1.304359868,0.006266074,0,0.458075303,-2362.162882,14.4126161,-9.129314292,0,0.480936347,11.56648989,1.789331478,4,0.499919885,0.761193951,-10.3295354,0.138048004,6,0,2.246886542,189.7678196,0,1,2,206.0182828,1,1.103733975,0,0,0,5.185619438,86.69347861,1.487833333,6,71.79426374,0.126582278,33.25829194,0,0
D0524,0,3,1,0,0,0,0,0,24.34917223,0.683566091,-1.6113,0,0.173809739,0.451642962,-0.994649503,0,0.019788662,34.07526882,456.8589652,0,-65.35802469,10.57125606,0.839556442,4.474290282,0,1.86533973,0.007667225,0,0.51265473,-314.0434908,0,-1.933296384,1,0.896121854,38.89635449,1.966268653,1,0.728395062,0.744198388,-1.874650187,0.272409448,3,0,-6.944530962,248.7850401,0,0,4,416.1089963,0,0.710907574,0,1,0,3.676364296,-148.2990398,1.072170585,11,65.14814815,0.444444444,69.69135802,1,1
D1097,1,0,0,0,0,0,10.04526663,1,11.94758171,0.729246332,3.1256,0,0.125799308,0.051834039,12.25018265,0,0.025262188,29.81355932,142.7629173,0,-47.98765432,23.20187978,0.151374715,4.867822876,2,1.478561349,0,0,0.462742569,-714.3646431,-1.483844167,-4.727436728,0,0.588653006,0,2.048948205,7,0.709342561,0.687310898,-4.298187315,0.167322421,1,0,-1.267714677,266.9596229,0,0,3,287.2015497,0,0.50849583,0,1,0,3.324104412,-172.0692042,1.101591567,12,13.44444444,0.5,24.18518519,1,1
D0566,0,0,0,11.49902367,0,0,0,0,33.97811542,0.949739607,3.2935,0,0.113774716,0.024056261,5.468085169,0,0.01863715,15.70414201,-1430.10956,0,-112.8965028,25.67792382,0.068041382,4.196116166,0,1.277413937,0.006920212,0,0.553044167,-579.9109926,1.560203674,-5.852233601,0,1.3458979,30.70856985,1.613610566,3,0.548558601,0.893586553,-1.982007562,0.507754994,9,0,3.878479808,178.0568771,0,0,1,709.1436321,0,1.061696077,0,0,0,5.120121353,-106.423913,1.85649199,6,10.45415879,0.065217391,-22.05812854,0,1
D0811,0,2,0,5.749511833,0,0,0,0,31.13997643,0.569233153,-5.4045,0,0.149399204,0.151139886,2.801252812,0,0.015806122,21.756,201.7363995,0,-21.41494331,34.40200486,0.321478169,-5.840288011,0,1.532152273,0.007464145,0,0.46506316,965.4256753,-1.383216234,-5.68257403,1,1.082495383,68.40839454,1.752807802,9,0.586683673,0.835727297,2.967487075,0.219282163,5,0,0.033624518,206.7298376,0,0,4,-1460.072003,0,0.749092872,0,1,1,5.35114762,-113.16,1.452011479,12,13.3861678,0.285714286,46.74049887,0,0
